sale_price,sale_date,city,state,lat,lng
109900,2013-01-15,NASHVILLE,TN,36.236754,-86.770889
44000,2013-01-16,MADISON,TN,36.268971,-86.707905
102900,2013-01-11,MADISON,TN,36.265468,-86.705333
97500,2013-01-16,MADISON,TN,36.263758,-86.679519
70000,2013-01-08,MADISON,TN,36.259075,-86.681964
74000,2013-01-08,MADISON,TN,36.263541,-86.6808
159900,2013-01-11,MADISON,TN,36.24891,-86.694762
66120,2013-01-24,MADISON,TN,36.248419,-86.6894
85000,2013-01-09,MADISON,TN,36.248459,-86.677421
89900,2013-01-03,MADISON,TN,36.24828,-86.677297
77500,2013-01-04,NASHVILLE,TN,36.227366,-86.730912
83000,2013-01-04,NASHVILLE,TN,36.222795,-86.725471
154900,2013-01-17,NASHVILLE,TN,36.220966,-86.726382
130000,2013-01-15,NASHVILLE,TN,36.219029,-86.72646
108500,2013-01-16,MADISON,TN,36.233251,-86.655919
57999,2013-01-15,NASHVILLE,TN,36.192351,-86.771336
40000,2013-01-24,NASHVILLE,TN,36.192181,-86.76473
16000,2013-01-08,NASHVILLE,TN,36.194829,-86.759286
334000,2013-01-10,NASHVILLE,TN,36.212704,-86.726718
150000,2013-01-15,NASHVILLE,TN,36.209085,-86.717428
250000,2013-01-16,NASHVILLE,TN,36.208324,-86.732988
76000,2013-01-24,NASHVILLE,TN,36.202311,-86.727514
177750,2013-01-30,NASHVILLE,TN,36.205668,-86.716163
53000,2013-01-07,NASHVILLE,TN,36.197786,-86.734342
120000,2013-01-17,NASHVILLE,TN,36.198316,-86.71484
30000,2013-01-15,NASHVILLE,TN,36.192936,-86.748216
132000,2013-01-10,NASHVILLE,TN,36.195144,-86.72613
125000,2013-01-08,NASHVILLE,TN,36.197749,-86.708041
248840,2013-01-25,NASHVILLE,TN,36.190825,-86.761139
52500,2013-01-11,NASHVILLE,TN,36.188583,-86.761527
75000,2013-01-11,NASHVILLE,TN,36.18828,-86.754362
153000,2013-01-09,NASHVILLE,TN,36.183012,-86.756024
210000,2013-01-25,NASHVILLE,TN,36.182624,-86.755887
183000,2013-01-18,NASHVILLE,TN,36.180167,-86.769797
281993,2013-01-24,NASHVILLE,TN,36.169897,-86.760025
70000,2013-01-11,NASHVILLE,TN,36.188605,-86.748328
120000,2013-01-25,NASHVILLE,TN,36.190103,-86.742321
65000,2013-01-24,NASHVILLE,TN,36.188578,-86.742682
148500,2013-01-22,NASHVILLE,TN,36.188496,-86.719921
355000,2013-01-20,NASHVILLE,TN,36.181543,-86.74684
72500,2013-01-02,NASHVILLE,TN,36.18434,-86.744531
159900,2013-01-24,NASHVILLE,TN,36.183286,-86.729163
225000,2013-01-29,NASHVILLE,TN,36.180353,-86.747811
173000,2013-01-23,NASHVILLE,TN,36.178113,-86.737714
235000,2013-01-10,NASHVILLE,TN,36.17585,-86.7358
215000,2013-01-28,NASHVILLE,TN,36.262762,-86.644558
388565,2013-01-10,NASHVILLE,TN,36.174501,-86.743894
241000,2013-01-24,NASHVILLE,TN,36.1807,-86.710658
