,0,1
Intercept,0.23676155631532694,0.3533410674002466
Black,1.033836788703426,2.175953773273613
Hispanic,2.018812435429212,2.7635382030214197
Asian/Pacific Islander,0.7769703815930729,0.614185923847709
Female,0.8956297881098261,0.48532760827177623
wealth_c,0.9471879716324669,0.714050527252181
wealth_c:Black,1.116154331426908,1.3673848017587662
wealth_c:Hispanic,1.02928051810476,1.3502455773850506
wealth_c:Asian/Pacific Islander,1.09920662297842,0.8158187391004473
wealth_c:Female,1.042570493851057,1.0139760734045102
"bs(age_c, df=4, include_intercept=False)[0]",1.2294481509442015,0.031123316807681406
"bs(age_c, df=4, include_intercept=False)[1]",0.8778372056597649,0.21603313818107336
"bs(age_c, df=4, include_intercept=False)[2]",0.7130969706443603,0.0012377257472129027
"bs(age_c, df=4, include_intercept=False)[3]",0.05482410925753613,0.014912251771679123
