,0,1
Intercept,-17.754296181748238,-7.14703433060107
Black,1.781220384406719,26.39013079956641
Hispanic,23.737251872993767,31.728669929394357
Asian/Pacific Islander,-8.251741744006756,-5.4161760204339515
Female,-11.431723299179552,-41.17019283696006
wealth_c,-0.7686206394598831,-7.510654836311827
wealth_c:Black,1.8689120432494777,5.267944364558093
wealth_c:Hispanic,0.47541844916550674,4.14817032938092
wealth_c:Asian/Pacific Islander,1.5436354778001224,-1.0105516146069762
wealth_c:Female,1.829848785022453,0.41000377271396526
"bs(age_c, df=4, include_intercept=False)[0]",2.221698246311551,-17.63735578019579
"bs(age_c, df=4, include_intercept=False)[1]",-2.113699593618191,-14.349637252354126
"bs(age_c, df=4, include_intercept=False)[2]",-2.8392457705592604,-22.577982928496947
"bs(age_c, df=4, include_intercept=False)[3]",-17.900283804062543,-9.436289783118262
