,0,1
Intercept,0.08114665436720347,0.1455598845329147
Black,0.01868208972789654,0.02946052411687255
Hispanic,0.029595230275018654,0.03203764351299555
Asian/Pacific Islander,0.030581791832270163,0.09000032260091491
Female,0.009642302513728454,0.017559576122691992
wealth_c,0.07059101852755965,0.04484316747700959
wealth_c:Black,0.058798456890436744,0.05939698487337837
wealth_c:Hispanic,0.06070448485388346,0.0723901048503467
wealth_c:Asian/Pacific Islander,0.06127655725695382,0.20143759032815375
wealth_c:Female,0.022782916679747748,0.033851660804742945
"bs(age_c, df=4, include_intercept=False)[0]",0.09297635773954081,0.1967300567823046
"bs(age_c, df=4, include_intercept=False)[1]",0.061642684654901476,0.10678482240440466
"bs(age_c, df=4, include_intercept=False)[2]",0.11909425651451168,0.29650477101382655
"bs(age_c, df=4, include_intercept=False)[3]",0.16221112824835462,0.4456806895518282
