,0,1
Intercept,-1.4407017357932848,-1.0403214919150692
Black,0.03327691904664469,0.7774670848680474
Hispanic,0.7025094352773684,1.0165118163394382
Asian/Pacific Islander,-0.25235304826886856,-0.4874575891023952
Female,-0.11022813430392712,-0.7229311351065087
wealth_c,-0.05425771380077736,-0.3368015526867433
wealth_c:Black,0.10988914420702246,0.3129000117354559
wealth_c:Hispanic,0.028860032046624268,0.30028648508098205
wealth_c:Asian/Pacific Islander,0.09458866773928447,-0.20356308214865437
wealth_c:Female,0.041689292405704195,0.013879308642578072
"bs(age_c, df=4, include_intercept=False)[0]",0.20656541093837322,-3.4697980041276257
"bs(age_c, df=4, include_intercept=False)[1]",-0.13029411750459954,-1.5323234655602647
"bs(age_c, df=4, include_intercept=False)[2]",-0.3381378641067269,-6.694479658168072
"bs(age_c, df=4, include_intercept=False)[3]",-2.9036252318227342,-4.205572137351019
