,0,1
Intercept,-1.5216513434233019,-0.5938292716115813
C(subject_race_encd)[Black],-0.0037919953481610363,0.7341209067494682
C(subject_race_encd)[Hispanic],0.7986454630460064,1.0439247488818826
C(subject_race_encd)[Asian/Pacific Islander],-0.20996561353277035,-0.7212871073254175
C(subject_race_encd)[Unknown],0.2998694467054169,-1.343692088803765
C(subject_race_encd)[Other],-0.17539472558283858,0.05002365303180517
C(subject_sex_encd)[Female],-0.13433612545716622,-0.8815600742707053
wealth_c,-0.12305949074792166,-0.08181988460023693
wealth_c:C(subject_race_encd)[Black],0.16035970870521268,0.06850977883883776
wealth_c:C(subject_race_encd)[Hispanic],0.002137811123155705,-0.32646280755134116
wealth_c:C(subject_race_encd)[Asian/Pacific Islander],-0.10838705891203787,-0.43860136304957964
wealth_c:C(subject_race_encd)[Unknown],0.43180308497991937,0.8636461556315526
wealth_c:C(subject_race_encd)[Other],0.42545522486049975,1.2524910249704841
wealth_c:C(subject_sex_encd)[Female],0.022885116179242215,-0.13240906940451108
"bs(age_c, df=4, include_intercept=False)[0]",0.3107490521555942,-3.8910263142534234
"bs(age_c, df=4, include_intercept=False)[1]",-0.0970059289616377,-2.2289785235034936
"bs(age_c, df=4, include_intercept=False)[2]",-0.12815265230347578,-6.296596927470938
"bs(age_c, df=4, include_intercept=False)[3]",-3.1251936665544435,-7.37656318623662
