,0,1
Intercept,0.21835101655857972,0.5522086739564244
C(subject_race_encd)[Black],0.9962151851871464,2.0836494649606245
C(subject_race_encd)[Hispanic],2.2225283918189334,2.8403427993398607
C(subject_race_encd)[Asian/Pacific Islander],0.8106121195780327,0.4861261565806463
C(subject_race_encd)[Unknown],1.349682590564558,0.2608806936018759
C(subject_race_encd)[Other],0.8391257309959922,1.0512959624187799
C(subject_sex_encd)[Female],0.8742961420182351,0.4141363240266613
wealth_c,0.8842110586189146,0.9214379089081255
wealth_c:C(subject_race_encd)[Black],1.1739330689973644,1.070911097166805
wealth_c:C(subject_race_encd)[Hispanic],1.0021400978706092,0.7214712078304772
wealth_c:C(subject_race_encd)[Asian/Pacific Islander],0.8972802288997314,0.6449378244401632
wealth_c:C(subject_race_encd)[Unknown],1.5400318299026856,2.3717928729485553
wealth_c:C(subject_race_encd)[Other],1.5302868857611054,3.499048327069417
wealth_c:C(subject_sex_encd)[Female],1.0231489895299275,0.8759825841028479
"bs(age_c, df=4, include_intercept=False)[0]",1.36444677324312,0.020424373451955614
"bs(age_c, df=4, include_intercept=False)[1]",0.9075506252844796,0.10763832401733806
"bs(age_c, df=4, include_intercept=False)[2]",0.8797190777505658,0.0018425645004759468
"bs(age_c, df=4, include_intercept=False)[3]",0.04392842533277202,0.0006257477732198805
